"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"$AAPL #patent 9,761,303: Storage element with multiple clock circuits https://t.co/xWlCBIuK1k #tech #IP https://t.co/N009H2lAhg",FALSE,0,NA,2017-09-12 20:14:35,FALSE,NA,"907698981144350720",NA,"<a href=""http://www.treeofideas.com"" rel=""nofollow"">Tree of Ideas</a>","treabase",0,FALSE,FALSE,NA,NA
"I'm not a huge $AAPL fan but $160 stock closes down $0.60 for the day on huge volume isn't really bearish",FALSE,0,NA,2017-09-12 20:14:30,FALSE,NA,"907698957194858496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_JamisonG_",0,FALSE,FALSE,NA,NA
"RT @JayDub1210: @Apple $AAPL The new Apple iPhone facial recognition is",FALSE,0,NA,2017-09-12 20:14:23,FALSE,NA,"907698927759249410",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JayDub1210",1,TRUE,FALSE,NA,NA
"10 Things To Know About The iPhone X: https://t.co/IHhSHFifk4 $AAPL #iphoneX https://t.co/xVLt6k5mP8",FALSE,0,NA,2017-09-12 20:14:18,FALSE,NA,"907698907957878785",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","CRNTestCenter",0,FALSE,FALSE,NA,NA
"@kirkburgess 13shs $aapl ... is it worth it?",FALSE,0,"kirkburgess",2017-09-12 20:14:17,FALSE,"907690990890213376","907698903541321728","14406831","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GyroMac",0,FALSE,FALSE,NA,NA
"*Breaking News $TWTR $AAPL $MSFT $AAPL $fb $CRM $CMG $BRK $IeP $GOOG $SHAK $CAKE $GOOG $KO $PYPL $Teva $VRX $AGN… https://t.co/9WesyUjgkO",FALSE,0,NA,2017-09-12 20:14:13,TRUE,NA,"907698886768291847",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","brianfires",0,FALSE,FALSE,NA,NA
"$AAPL $BAC not sure what more dissapointing: the new iphones or the presentation for the new iphones?",FALSE,0,NA,2017-09-12 20:14:04,FALSE,NA,"907698849095016450",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","callman_trades",0,FALSE,FALSE,NA,NA
"RT @cheddar: Apple 2009 - Steve Jobs says Apple ""is going to reinvent the phone""

Apple 2017: You can become an emoji

#AppleEvent $AAPL",FALSE,0,NA,2017-09-12 20:14:02,FALSE,NA,"907698841322913792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wwiilll",63,TRUE,FALSE,NA,NA
"RT @LNPServices: #Apple Special Event 2017 LIVE #STREAM HD - Presentation #iPhoneX, #iPhone8, #iPhone8Plus #LIVE - #YouTube https://t.co/46…",FALSE,0,NA,2017-09-12 20:13:52,FALSE,NA,"907698797702025216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vicenta_hagar",11,TRUE,FALSE,NA,NA
"RT @TradeZer0: These smart money #Stocks are popular, $AAPL, $BRK-B, $FB, $GOOGL #Investing #StockMarket: https://t.co/cvmoRB61oR https://t…",FALSE,0,NA,2017-09-12 20:13:49,FALSE,NA,"907698788156018693",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HuracanJazz",1,TRUE,FALSE,NA,NA
